PUBID8,ADJWT,STRATUM,PAIR,Area,Site,Source,NWKER,WiFrig,OpFrig,ClFrig,Rooms,FoodRm,HDD,CDD,HEATP,COOLP
11,352.05,13,1,6300,91.54825397,172.36969,2,0,0,0,17,0,6470,715,100,100
31,124.18,24,1,310000,104.343971,292.3359624,200,10,0,0,250,1,3011,1419,100,100
39,135.43,47,1,600000,72.97746167,145.73089,300,17,10,0,400,1,1248,449,75,75
54,116.76,13,2,180000,95.42416667,218.6923624,25,1,2,0,125,1,6097,583,100,100
78,313.39,30,2,91000,34.56407692,88.80522801,14,2,0,5,175,1,3378,1633,100,100
138,419.28,32,2,5000,72.3266,128.2844712,1,0,0,0,9,0,2943,2183,85,85
169,364.2,57,2,30500,54.71091803,134.0265259,3,0,0,0,90,0,2132,2680,40,40
215,246.38,21,1,42000,100.5602381,248.3382132,25,0,0,0,80,0,3907,1329,100,86
239,456.4,8,2,10250,76.32995122,254.9420371,9,0,0,0,40,0,4329,1447,100,100
272,211.83,33,2,65000,64.23510769,164.9213531,13,0,0,2,150,0,2874,2056,100,100
300,352.58,43,2,35000,83.39917143,197.688098,9,0,0,1,80,0,5956,914,100,100
332,115.1,30,2,164000,100.1803415,248.0969975,80,2,0,4,300,1,3850,1222,100,100
398,39.55,22,1,350000,90.47492,189.7821935,200,5,0,15,300,1,2935,2189,100,98
445,69.06,47,1,170000,78.57372941,175.6674699,100,3,1,6,125,1,1320,427,100,100
482,461.3,29,2,25000,21.00488,49.078126,2,0,0,0,45,0,3250,1505,50,50
676,22.32,41,2,205000,112.9076557,250.9050291,190,5,0,30,250,1,582,4640,100,85
693,132.45,8,1,86000,100.336407,244.8174146,45,1,0,3,175,1,5277,850,100,90
734,123.91,27,1,106000,54.73695283,149.7175761,14,0,1,0,100,0,319,4871,10,100
736,1697.96,19,2,12000,97.01208333,143.3253743,7,0,0,0,30,0,5253,1601,100,100
739,360.63,42,1,38000,46.89442105,109.9366969,24,0,0,2,35,0,2708,1039,100,100
862,214.9,16,2,40000,182.8908,439.2524521,24,0,0,0,150,1,6351,701,60,60
924,317.92,15,1,25000,53.46548,124.9006597,15,0,0,0,60,0,5309,578,100,100
1014,317.92,17,2,120000,37.0416,79.73123583,13,0,0,0,100,0,9606,485,100,90
1055,403.22,4,1,22000,52.19704545,122.6637695,9,0,0,0,40,0,7157,366,100,65
1063,402.35,17,2,35000,80.16222857,168.2342258,18,0,0,0,30,0,9129,581,100,90
1073,119.39,12,2,106000,127.4376038,265.566423,125,4,0,6,175,1,7621,568,100,100
1081,331.3,24,1,20500,82.65317073,226.9117504,11,0,0,0,60,0,2847,1581,100,100
1105,360.63,40,2,30000,75.65743333,158.558123,10,0,0,0,70,0,2464,1785,100,100
1153,136.88,29,2,240000,142.6464542,324.2562342,125,8,0,0,225,1,3282,1273,100,100
1179,848.3,2,2,8000,45.891375,153.2771925,1,0,0,0,8,0,5322,562,65,100
1183,403.31,34,1,26000,36.99015385,123.5471138,4,0,0,0,30,0,747,4648,100,95
1374,214.9,16,1,43000,54.81251163,135.6711864,10,0,0,3,100,0,4910,937,100,100
1427,419.28,29,1,20250,72.52158025,150.0754102,4,0,0,0,30,0,3094,1486,100,100
1430,123.91,49,1,99000,124.6570202,344.9376423,38,1,2,8,175,1,1411,2587,100,100
1458,419.28,23,2,12000,53.39216667,154.6890067,3,0,0,0,40,0,3581,1321,100,100
1465,399.98,2,2,44000,29.53552273,98.64864591,15,0,0,0,100,0,6631,507,100,100
1493,132.45,47,1,146000,119.3231975,247.1085616,400,2,8,4,90,1,1462,440,100,80
