PUBID,SQFT,LnAreaT,ADJWT,SiteEUI,SourceEUI,WKHRS,NWKER,PCNUM,PcDensT,Bank50,HDD,HEATP,CDD,COOLP,WiFridge,OpFridge,ClFridge,ReFridge,VnFridge,NFLOORS
3,190000,12.155,80.65,100.2964,334.1395873,55,650,700,3.684,0,4722,80,1294,80,0,0,0,8,2,10
6,55000,10.915,274.46,86.82392727,214.0864625,45,118,140,2.545,0,3881,100,1213,100,0,0,0,0,6,4
14,65000,11.082,221.72,46.95710769,137.1966655,50,250,200,3.077,0,5372,100,825,100,0,0,0,0,6,4
24,12750,9.453,402.35,98.83427451,195.121973,60,25,45,3.529,0,4194,100,1897,100,0,0,0,2,1,1
36,15000,9.616,869.22,53.51746667,140.5289204,40,50,45,3,0,4640,66,1125,66,0,0,0,6,0,3
50,1000000,12.206,3.19,186.013286,491.7589348,168,7500,8000,8,0,5171,60,802,50,5,0,3,0,45,40
75,900000,12.206,46.81,103.3668689,259.0798079,55,1800,2000,2.222,0,5596,100,799,95,2,4,12,70,20,40
76,116000,11.661,77.89,72.33844828,214.2869394,59,100,100,0.862,0,5734,90,823,90,0,0,0,0,6,5
82,16000,9.68,406.42,54.600875,83.68121844,55,48,48,3,0,6334,100,728,100,0,0,0,0,2,2
108,65000,11.082,70.76,34.48803077,98.88513475,50,116,200,3.077,0,2949,100,2302,50,0,0,0,10,2,2
113,20000,9.903,2739.65,26.3765,54.3975183,55,5,7,0.35,1,6560,100,1009,100,0,0,0,0,0,2
131,36000,10.491,734.43,94.44480556,218.4657924,168,48,25,0.694,0,3874,100,1024,100,1,0,2,0,3,2
136,158000,11.97,74.65,122.1936962,407.3088499,168,217,217,1.373,0,2307,100,2751,100,0,3,0,15,0,6
191,225000,12.206,39.55,41.25072444,92.76842838,40,93,35,0.156,0,3379,100,1359,100,1,1,0,4,2,3
194,81000,11.302,190.78,114.2248272,294.9810481,70,250,250,3.086,0,1103,100,2999,100,1,0,0,5,4,1
201,6000,8.7,528.24,42.85583333,143.1384833,40,15,18,3,0,1470,100,2561,100,0,0,0,1,0,2
211,150000,11.918,80.65,65.18542,217.4499947,63,225,235,1.567,0,4554,85,1252,85,0,0,0,18,6,11
224,44000,10.692,97.69,44.04306818,140.0545925,57,98,90,2.045,0,1997,100,1898,100,0,0,0,3,0,2
243,5000,8.517,2739.65,81.8688,273.441792,57,7,9,1.8,1,5931,100,724,100,0,0,0,1,1,1
245,12000,9.393,807.37,39.22408333,131.0084383,40,50,50,4.167,1,632,0,3723,100,0,0,0,1,1,1
247,255000,12.206,31.27,102.1467647,221.8331158,45,700,600,2.353,0,2359,95,2011,100,0,0,0,0,6,7
251,5400,8.594,2463.5,50.02981481,128.0047807,45,9,21,3.889,0,4804,100,1192,100,0,0,0,0,0,1
253,64000,11.067,80.53,181.3715156,448.7744805,84,200,200,3.125,0,5822,100,807,100,0,0,0,12,0,7
256,89000,11.396,221.72,105.5375618,213.4263064,70,140,146,1.64,0,7636,90,431,60,0,0,0,7,1,5
286,13250,9.492,364.5,98.38007547,245.6235204,45,35,40,3.019,0,4416,100,1284,80,0,0,0,2,1,3
294,1000000,12.206,6.04,86.231132,228.9373157,60,1512,1500,1.5,0,3981,100,1378,80,1,3,3,25,8,11
318,20250,9.916,364.88,127.4163457,288.3720818,55,95,90,4.444,0,7571,100,646,88,0,0,0,1,2,2
320,40000,10.597,436.75,87.32,291.6488,45,90,200,5,0,3257,100,1391,100,0,0,0,0,4,2
350,108000,11.59,86.75,115.3503889,333.5187442,60,400,450,4.167,0,4206,100,1262,100,0,0,0,0,0,5
