PUBID,SQFT,ADJWT,Site,Source,WKHRS,NWKER,PCNUM,WiF,Reg,RegDens,RegDensT,OpF,ClF,HDD,CDD,HEATP,COOLP
26,106000,97.97,62.40966038,191.9331594,95,30,10,0,20,0.188679245,0.188679245,0,4,2295,1292,100,100
55,15000,864.37,160.7812,271.6172351,67,5,0,1,2,0.133333333,0.133333333,0,0,6467,629,100,66
60,172000,83.77,96.9252093,304.2388859,110,85,80,0,54,0.313953488,0.313953488,0,0,5918,749,100,100
165,7900,950.84,24.52886076,73.21821949,70,4,1,0,2,0.253164557,0.253164557,0,0,2541,681,90,90
167,33000,528.95,56.1139697,187.4206588,68,11,7,0,3,0.090909091,0.090909091,0,0,3128,1833,90,90
266,7700,1769.43,43.46181818,88.51687273,46,4,4,0,0,0,0,1,0,3439,2080,100,100
311,10000,2314.83,39.859,133.12906,66,14,1,0,2,0.2,0.2,0,0,2657,1744,100,100
328,6100,2724.37,252.024918,486.3369492,77,11,9,0,4,0.655737705,0.655737705,0,0,7321,629,100,100
337,14500,734.43,113.0726207,337.4079102,112,15,3,1,9,0.620689655,0.620689655,1,1,3743,1484,100,100
345,5000,2447.55,47.784,59.875026,57,1,0,0,0,0,0,0,0,6315,691,100,100
346,12000,734.43,52.73333333,176.1293333,72,3,4,1,2,0.166666667,0.166666667,0,2,2463,1504,70,70
402,24000,2546.83,37.71529167,121.5955588,54,10,6,0,4,0.166666667,0.166666667,0,0,3493,1082,75,75
409,44000,192.72,43.95353242,140.1850606,65,55,60,0,1,0.022727273,0.022727273,0,0,2421,2375,100,100
529,26000,276.1,363.7551538,493.8897227,95,14,10,0,6,0.230769231,0.230769231,0,1,7007,479,100,100
563,45000,200.1,142.6011741,365.942762,98,28,18,0,12,0.266666667,0.266666667,3,1,6409,673,100,100
574,32000,449.11,18.474375,61.7044125,49,70,3,0,4,0.125,0.125,0,0,2861,216,100,100
609,6000,2724.37,59.22733333,102.7826765,56,4,0,0,1,0.166666667,0.166666667,0,0,7188,476,100,100
614,136000,77.87,141.9546176,373.4880368,65,70,15,6,90,0.661764706,0.661764706,20,4,4566,1198,100,100
631,13000,950.84,37.79446154,126.2335015,30,22,10,0,1,0.076923077,0.076923077,0,0,855,1782,25,25
