PUBID8,SQFT,ADJWT,PBA,PBAPLUS,WKHRS,NWKER,PCNUM,NoWFridge,RWH,NonRWH,DistCtr,nRWH,HDD,HEATP,CDD,COOLP,SiteEUI,SourceEUI,PropSiteEUI,SmallPropane,WFDens
1,14000,734.43,5,10,60,40,5,0,0,1,0,1,2965,72,1367,72,32.37021429,66.89705636,0,1,0
19,106000,38.21,5,9,60,210,140,0,0,0,1,1,8083,50,673,100,78.91431132,201.1843199,0,1,0
30,37000,813.44,5,9,40,8,4,0,0,0,1,1,4680,100,1221,5,37.50181081,53.08768176,0,1,0
34,12000,80.53,5,9,48,9,5,0,0,0,1,1,5494,100,531,0,107.3313333,157.894249,0,1,0
44,5000,1567.79,5,9,168,6,15,0,0,0,1,1,1151,20,1248,25,24.5902,82.131268,0,1,0
87,68000,377.81,11,20,168,40,40,3,1,0,0,0,4193,20,1095,25,142.5663824,470.4075197,0,1,0.044117647
90,18000,140.65,5,9,45,3,4,0,0,0,1,1,7978,100,468,33,51.85766667,86.18003372,0,1,0
116,15000,2546.83,5,10,40,9,6,0,0,1,0,1,4698,100,1217,25,12.28546667,36.6834848,0,1,0
117,280000,33.69,5,9,50,73,48,0,0,0,1,1,4058,100,850,100,68.24889286,131.670648,0,1,0
126,110000,361.04,5,9,100,40,40,0,0,0,1,1,9290,100,558,10,59.94132727,101.9935715,0,1,0
152,13500,807.37,5,9,40,19,19,0,0,0,1,1,882,100,3479,100,37.42155556,124.9879956,0,1,0
160,65000,155.65,5,9,40,19,11,0,0,0,1,1,879,8,4318,8,9.190876923,30.69752892,0,1,0
161,150000,80.08,11,20,40,50,20,1,1,0,0,0,6091,15,605,3,95.01888667,294.5354799,0,1,0.006666667
172,21500,1164.83,5,9,68,8,5,0,0,0,1,1,804,20,4412,20,15.14390698,50.5806493,0,1,0
186,8600,776.54,5,10,60,0,,0,0,1,0,1,8051,0,792,0,3.092674419,10.32953256,0,1,0
203,8000,2314.83,5,9,50,0,,0,0,0,1,1,3105,100,1938,0,38.872125,55.95530375,0,1,0
216,55000,242.54,5,9,47,60,50,0,0,0,1,1,1870,0,1598,20,13.29352727,44.40038109,0,1,0
235,10750,734.43,5,10,50,0,,0,0,1,0,1,3292,0,1651,0,3.841395349,12.83026047,0,1,0
265,72000,190.78,5,10,50,4,2,0,0,1,0,1,1815,5,2768,5,2.325,7.7655,0,1,0
280,30000,1452.58,5,9,80,3,,0,0,0,1,1,5540,100,640,0,22.194,65.0577692,0,1,0
292,6000,364.88,5,10,56,4,2,0,0,1,0,1,9944,100,575,50,127.4531667,200.1602113,0,1,0
309,150000,75.21,5,9,50,50,10,0,0,0,1,1,3923,75,1299,20,21.47084667,69.55691177,0.06006,1,0
313,90000,155.65,5,9,73,37,23,0,0,0,1,1,849,8,4290,8,24.51347778,81.87501578,0,1,0
335,12750,734.43,5,10,55,13,8,0,0,1,0,1,3354,25,1576,25,34.09435294,99.83892149,0,1,0
369,120000,317.92,5,10,45,99,24,0,0,1,0,1,5267,80,625,30,51.82556189,116.0315907,0.089670221,1,0
375,66000,404.15,5,9,100,13,3,1,0,0,1,1,7517,90,726,25,89.91542424,174.6414686,0,1,0.015151515
377,20500,109.96,5,10,60,35,21,5,0,1,0,1,8735,80,626,25,206.382,320.8118508,0,1,0.243902439
458,20000,869.22,5,10,45,30,18,0,0,1,0,1,5405,20,829,15,32.39085,48.81152885,0,1,0
517,13000,2724.37,5,9,52,15,4,0,0,0,1,1,6075,45,736,45,38.87576923,81.31242431,0.693,1,0
550,25000,444.58,5,9,45,12,11,0,0,0,1,1,1473,0,284,20,8.36316,23.7008356,1.81636,1,0
568,11000,869.22,5,9,120,43,14,0,0,0,1,1,7131,100,430,15,208.6181818,327.8158043,0,1,0
597,10000,2546.83,5,9,65,3,1,0,0,0,1,1,3069,10,1256,10,14.2371,33.4149858,0,1,0
621,31000,365.93,5,10,60,25,12,3,0,1,0,1,7786,100,476,20,57.47970968,124.3465709,0,1,0.096774194
649,83000,72.41,5,9,106,20,11,7,0,0,1,1,7148,50,588,10,53.36542169,130.2496208,0,1,0.084337349
746,45000,209.53,5,9,70,60,10,0,0,0,1,1,5097,100,747,2,112.6603556,181.4903968,0,1,0
760,38000,369.79,5,9,40,20,5,0,0,0,1,1,3797,100,1125,30,31.25039474,60.14929647,0,1,0
770,95000,220.48,11,20,120,13,8,1,1,0,0,0,4689,100,1568,3,30.61444211,102.2522366,0,1,0.010526316
781,255000,121.36,5,9,168,325,50,0,0,0,1,1,3937,100,1389,5,46.74852941,129.4018697,0.356505882,1,0
817,55000,377.5,5,10,69,35,17,0,0,1,0,1,151,0,5467,100,52.885,176.6359,0,1,0
827,5000,2463.5,5,9,36,3,1,0,0,0,1,1,7765,100,594,20,145.5678,185.9205948,1.8018,1,0
854,152000,174.68,5,9,50,15,4,0,0,0,1,1,2620,100,1267,6,26.68967105,47.55743392,0,1,0
