PUBID,ComID,SQFT,BEDS,BEDS08,FTE,MRI,Source,HDD,CDD,EUIpre,EUI,WkrDen,BedDen,BedDen08,MRIDen,ADJWT
1,D,593319,139,130,885.06,1,166400812.9,9158,434,281.8989547,280.4575833,1.491710193,0.234275322,0.219106417,0.001685434,30.58333333
2,CV,76156,49,25,190,0,42764606.04,4688,1365,566.8575824,561.539551,2.494878933,0.643416146,0.328273544,0,30.58333333
3,CV,209885,104,104,539,1,86450508.87,4688,1365,425.2711336,411.8946512,2.568072992,0.495509446,0.495509446,0.004764514,30.58333333
4,CV,365519,140,153,922,1,137590596.9,4688,1365,378.7649613,376.4252936,2.522440694,0.383017025,0.418582892,0.002735836,30.58333333
7,N,353000,204,146,950,1,88890726.92,6617,511,259.919623,251.8150904,2.69121813,0.577903683,0.413597734,0.002832861,38.82352941
10,AP,156107,25,25,326.83,1,81342242.07,6265,573,521.06723,521.06723,2.093628088,0.160146566,0.160146566,0.006405863,21.83333333
12,AZ,463770,335,335,1335,1,241521012.6,507,2904,532.8194382,520.7775677,2.878582056,0.722340815,0.722340815,0.002156241,75
13,AB,513100,232,202,1097.9,1,239683441.7,7059,579,468.6236516,467.1281266,2.139738842,0.452153576,0.393685441,0.001948938,30.58333333
15,AX,189778,25,25,249,1,85551344.38,7626,462,450.7969542,450.7969542,1.312059354,0.131732867,0.131732867,0.005269315,30.58333333
16,DB,200000,119,90,582,1,122040817.2,3610,1972,615.5284859,610.2040859,2.91,0.595,0.45,0.005,20.88235294
17,Y,958774,268,268,4839,2,757985034.5,5601,1161,839.0954228,790.5773775,5.04707053,0.279523642,0.279523642,0.002085997,30.58333333
20,CJ,224780,70,70,456,1,111187848,6131,774,494.6518732,494.6518732,2.028650236,0.311415606,0.311415606,0.004448794,21.83333333
21,L,232790,146,119,556,1,104420206,5601,1161,448.559672,448.559672,2.388418747,0.627174707,0.511190343,0.004295717,30.58333333
22,CM,323553,40,40,1265,0,156419991.5,5309,154,493.0239562,483.4447262,3.909714946,0.12362735,0.12362735,0,21.83333333
23,CG,1569713,623,623,3400,3,670549498.6,7072,468,448.8421628,427.179681,2.166001046,0.396887839,0.396887839,0.001911177,21.83333333
24,BV,1009916,461,461,3200,2,378094990.6,5226,154,403.611063,374.3826126,3.168580357,0.456473608,0.456473608,0.001980363,21.83333333
25,DH,234760,74,74,558,0,74562390.97,5505,683,324.3712343,317.6111389,2.376895553,0.315215539,0.315215539,0,38.82352941
29,CI,589752,136,136,736.22,1,144394088.5,6131,774,244.8386584,244.8386584,1.248355241,0.230605407,0.230605407,0.001695628,21.83333333
30,M,190000,25,25,165,1,71300058.42,8137.090909,473.4545455,380.5266233,375.2634654,0.868421053,0.131578947,0.131578947,0.005263158,30.58333333
33,AL,98619,25,25,250,1,48218732.53,6451.636364,822.5454545,488.9395809,488.9395809,2.535008467,0.253500847,0.253500847,0.010140034,30.58333333
34,M,85550,50,25,246,0,54903117.99,8061,745,642.2512915,641.7664289,2.875511397,0.584453536,0.292226768,0,30.58333333
35,CG,370000,142,115,860,1,145390331.7,6159,573,416.8458966,392.9468425,2.324324324,0.383783784,0.310810811,0.002702703,21.83333333
37,BN,796418,343,343,1456.6,2,420694062.9,3413,1881,538.006013,528.2327407,1.828939075,0.430678362,0.430678362,0.002511244,20.88235294
40,BN,185612,177,70,343,1,84894084.49,4877,1146,466.8099287,457.3739009,1.847940866,0.953602138,0.377130789,0.005387583,30.58333333
42,BN,72565,25,25,175,0,33175001.12,3413,1881,469.4894386,457.17634,2.411630952,0.344518707,0.344518707,0,20.88235294
44,BN,42866,42,42,122,0,17571355.44,4877,1146,423.5047693,409.9135781,2.846078477,0.979797509,0.979797509,0,30.58333333
45,BN,1974000,866,866,5285,7,1125431822,4877,1146,582.2076654,570.1275692,2.677304965,0.438703141,0.438703141,0.003546099,30.58333333
50,CE,216020,36,36,553,1,101192722.5,8861,94,468.4414524,468.4414524,2.559948153,0.166651236,0.166651236,0.004629201,30.58333333
64,C,295701,213,170,1400,1,211332690.8,1915,3236,714.6837202,714.6837202,4.734512227,0.720322217,0.574905056,0.003381794,20.88235294
68,DD,1635376,697,561,3171,1,649457880.4,5309,154,418.8619046,397.1306173,1.93900363,0.426201681,0.343040377,0.00061148,21.83333333
69,DD,585530,385,198,1194,3,279193140.4,5309,154,476.8212395,476.8212395,2.03917818,0.657523953,0.338155176,0.005123563,21.83333333
70,DD,285415,163,73,338,1,127440382.8,5309,154,461.8256833,446.5090579,1.184240492,0.571098225,0.255767917,0.00350367,21.83333333
71,E,841712,407,194,2300,2,459474730,5779,901,545.8811684,545.8811684,2.73252609,0.483538312,0.230482635,0.00237611,30.58333333
76,AV,87445,24,24,147,0,46280686.93,1453,3168,546.4084503,529.2548108,1.681056664,0.274458231,0.274458231,0,21.83333333
88,BO,125725,109,109,285,0,42160297.21,9727,142,335.3374207,335.3374207,2.266852257,0.866971565,0.866971565,0,30.58333333
89,BA,125000,49,25,169,0,38782425.83,8061,745,328.4494866,310.2594066,1.352,0.392,0.2,0,30.58333333
90,CF,851976,364,364,2244,1,565093391.2,10990,0,698.9868241,663.2738378,2.633877011,0.427242082,0.427242082,0.001173742,21.83333333
91,CZ,631863,293,293,3000,1,434716337.9,6611,599,707.8343956,687.9914442,4.747864648,0.463708114,0.463708114,0.001582622,30.58333333
93,CZ,1519478,766,766,6000,4,792932422.2,6611,599,537.3549365,521.8452799,3.948724496,0.504120494,0.504120494,0.002632483,30.58333333
94,CS,669678,163,163,1100,2,265098564.7,6352,1127,398.3812141,395.8597486,1.642580464,0.24340056,0.24340056,0.00298651,30.58333333
96,I,212392,93,93,500,1,103188322.1,3142,1547,493.9461095,485.8390245,2.354137632,0.4378696,0.4378696,0.004708275,75
97,CT,785000,481,446,3000,2,438835062.2,1473,749,575.5160544,559.0255569,3.821656051,0.612738854,0.568152866,0.002547771,21.83333333
98,BM,878764,600,481,1853,2,508265711.6,1251,2947,578.3870432,578.3870432,2.108643504,0.682777173,0.547359701,0.002275924,20.88235294
100,BM,466020,256,220,1114,1,264085246.1,1251,2947,566.6822155,566.6822155,2.390455345,0.549332647,0.472082743,0.002145831,20.88235294
108,BM,520885,269,265,1225,1,262483724.5,1251,2947,503.9187624,503.9187624,2.351766705,0.51642877,0.508749532,0.00191981,20.88235294
174,X,326245.94,225,225,2120,1,206985925.7,1453,3168,634.4475145,634.4475145,6.498165157,0.689663755,0.689663755,0.003065172,21.83333333
177,AO,418430,174,174,1591,2,142801632.7,5145,887,384.2700332,341.2796231,3.80230863,0.415840164,0.415840164,0.004779772,38.82352941
179,BP,804000,315,280,1647,2,218411407.8,8861,94,291.8791391,271.6559799,2.048507463,0.391791045,0.348258706,0.002487562,30.58333333
181,R,686858,327,319,1536.85,2,240551821.6,3912,1176,360.2261335,350.220601,2.237507607,0.476080937,0.464433697,0.00291181,75
182,AF,151000,25,25,368,1,78736478.3,5564,1032,521.4336311,521.4336311,2.437086093,0.165562914,0.165562914,0.006622517,30.58333333
184,V,404965,235,200,1200,1,213551618,2193,2202,553.8049411,527.3335177,2.963219044,0.580297063,0.493869841,0.002469349,75
185,M,87584,25,25,114,0,33890289.54,9158,434,387.7453592,386.9461265,1.3016076,0.285440263,0.285440263,0,30.58333333
186,M,226028,50,25,293,0,85530959.54,8061,745,381.4614098,378.4086907,1.296299574,0.221211531,0.110605766,0,30.58333333
188,C,148542,103,103,789,1,96596161.15,4325,761,650.2952777,650.2952777,5.311629034,0.693406579,0.693406579,0.006732103,75
189,Q,453868,220,220,1340,1,234684454.5,4575,1174,529.5340153,517.0764506,2.952400257,0.48472243,0.48472243,0.002203284,38.82352941
202,CG,146733,191,127,782,1,81911942.27,5309,154,558.2380397,558.2380397,5.329407836,1.301684011,0.865517641,0.0068151,21.83333333
203,CG,817567,340,285,2346,1,303985622.6,5309,154,375.996238,371.8173833,2.869489595,0.415868057,0.348595283,0.001223141,21.83333333
204,V,102118,59,59,251,1,47848681.11,1904,3237,472.2201875,468.5626541,2.457940814,0.57776298,0.57776298,0.009792593,20.88235294
205,CG,275000,245,245,1200,1,158921001.8,1409,672,620.9688285,577.8945522,4.363636364,0.890909091,0.890909091,0.003636364,21.83333333
206,BG,102143,74,74,289,0,87512088.49,3210,1690,873.9458259,856.7605072,2.829366672,0.724474511,0.724474511,0,20.88235294
207,CT,1421375,498,498,2800,3,648428439.8,1473,749,480.9471141,456.1980053,1.96992349,0.350364964,0.350364964,0.002110632,21.83333333
209,AE,192446,141,141,650,1,107223845,1740,2876,569.1058013,557.1632824,3.377570851,0.732673062,0.732673062,0.005196263,20.88235294
210,CG,137000,77,64,482,1,73060278.07,4754,376,539.8926137,533.2867012,3.518248175,0.562043796,0.467153285,0.00729927,21.83333333
213,V,219665,99,67,402,1,99069435.64,1915,2934,451.0023702,451.0023702,1.830059409,0.450686272,0.305009901,0.004552387,20.88235294
214,CW,451609,286,270,1390,1,293113664,4575,1174,655.8630673,649.0430084,3.077883745,0.633291188,0.59786231,0.002214305,38.82352941
215,C,736182,223,223,775,1,329647352.3,6563,816,447.7796962,447.7796962,1.052728809,0.302914225,0.302914225,0.00135836,30.58333333
217,CL,241851,109,91,357,1,89208045.1,8061,745,379.2480829,368.8553907,1.47611546,0.450690715,0.376264725,0.004134777,30.58333333
218,DK,315003,55,55,1100,0,159739308.2,4688,1365,507.1040854,507.1040854,3.492030235,0.174601512,0.174601512,0,30.58333333
225,CA,116102,36,36,280,1,66173803.88,6250,720,586.6290321,569.9626525,2.411672495,0.310072178,0.310072178,0.008613116,30.58333333
228,V,145000,150,102,285,1,84938545.58,2567,2251,602.3347971,585.783073,1.965517241,1.034482759,0.703448276,0.006896552,20.88235294
229,B,423479,432,131,604,1,108198338.9,6330,583,259.7035955,255.4987117,1.426280878,1.020121423,0.309342376,0.002361392,30.58333333
231,BJ,1245593,794,344,2166,12,754320271.8,8061,745,605.5912901,605.5912901,1.738930774,0.637447384,0.276173678,0.009633966,30.58333333
233,CC,508750,253,253,1947,1,247193926.7,5309,154,493.0914333,485.8848682,3.827027027,0.497297297,0.497297297,0.001965602,21.83333333
234,F,119383,79,79,327,1,106463010.9,5536.363636,785.4545455,891.7769779,891.7769779,2.739083454,0.661735758,0.661735758,0.008376402,30.58333333
235,V,160488,112,112,494,1,89737056.29,1648,2226,569.3700233,559.1511907,3.078111759,0.697871492,0.697871492,0.006230995,75
236,V,90869,60,35,128,0,42687268.08,2824,1773,477.7049168,469.7671162,1.408621202,0.660291188,0.38516986,0,75
239,S,904435,344,278,1650,0,599461344.2,6368,521,679.8174398,662.8020191,1.824343375,0.380347952,0.307374217,0,21.83333333
241,BD,1279000,531,531,3330.25,1,505354265.9,5197,1012,421.7527353,395.1167051,2.603792025,0.4151681,0.4151681,0.000781861,38.82352941
242,CY,95000,25,25,263.46,0,38292120.43,7031,377,413.8353729,403.0749519,2.773263158,0.263157895,0.263157895,0,38.82352941
243,V,324000,193,193,837,1,147292674,786,3248,454.6070185,454.6070185,2.583333333,0.595679012,0.595679012,0.00308642,20.88235294
245,CD,871220,350,295,1600,2,385127275.5,7059,579,442.0551359,442.0551359,1.836505131,0.401735497,0.338605633,0.002295631,30.58333333
247,T,747419,338,315,2514,1,298458882.3,2336,2320,408.3788013,399.3193675,3.363575183,0.452222916,0.421450351,0.001337938,21.83333333
248,CX,196000,89,89,782,1,81276913.49,3711,1481,414.6781301,414.6781301,3.989795918,0.454081633,0.454081633,0.005102041,75
250,DF,217104,131,131,676,1,83983515.88,6250,720,396.9620361,386.8354147,3.113715086,0.60339745,0.60339745,0.004606087,30.58333333
251,CN,784583,453,350,1888,1,406499554.6,1867,2032,528.4345176,518.1090523,2.406373832,0.577376772,0.446096844,0.001274562,75
253,V,94793,47,47,420,0,48679124.59,1473,749,522.9037438,513.5307943,4.430706909,0.495817202,0.495817202,0,21.83333333
255,CP,533095,191,144,1108,2,166489683.7,7551,487,339.6908678,312.3077194,2.078428798,0.358285109,0.27012071,0.003751677,21.83333333
257,DC,1109000,710,492,3600,1,517616793.3,2264,2116,477.2028794,466.7419236,3.246167719,0.640216411,0.443642922,0.000901713,20.88235294
258,BX,1525410,650,650,5000,4,684750089.7,3129,1806,479.8748746,448.8957655,3.277807278,0.426114946,0.426114946,0.002622246,75
260,V,217000,92,92,553,1,114355933.8,4688,1365,551.0959162,526.9858702,2.548387097,0.423963134,0.423963134,0.004608295,30.58333333
262,V,130000,155,50,184.19,0,69336542.29,2001.818182,2295.272727,533.3580176,533.3580176,1.416846154,1.192307692,0.384615385,0,20.88235294
271,W,673503,349,314,2102.1,1,309964997.3,6549,495,503.8726584,460.228087,3.121144227,0.518186259,0.466219156,0.001484774,38.82352941
272,CU,461300,164,135,885.6,0,163746603.1,6549,495,362.8798464,354.9677068,1.919791892,0.355517017,0.292651203,0,38.82352941
273,CU,821020,378,225,1131.3,1,239272468.3,6549,495,298.3275295,291.4331786,1.377920148,0.460402913,0.274049353,0.001217997,38.82352941
274,CU,332875,208,127,762.9,0,123778537.8,6549,495,383.7941503,371.8469029,2.291851296,0.624859181,0.381524596,0,38.82352941
275,V,104371,55,55,320,0,40940365.79,4583,1364,413.7218076,392.2580581,3.065985762,0.526966303,0.526966303,0,30.58333333
276,U,686222,490,432,1917,2,339809008.1,1251,2947,530.1360727,495.1881579,2.793556604,0.714054635,0.629533883,0.002914509,20.88235294
281,AG,434050,261,217,1105,1,159070340.6,3538,1995,366.479301,366.479301,2.545789656,0.601313213,0.499942403,0.002303882,20.88235294
283,BL,980651,313,235,1774,2,398326956.5,4902,1444,419.475514,406.1862543,1.809002387,0.319175731,0.239636731,0.002039462,30.58333333
284,V,277837,162,120,500,0,122231677.5,3210,1690,439.9402436,439.9402436,1.799616322,0.583075688,0.431907917,0,21.83333333
288,DO,209028,87,87,262,1,56535364.54,4109,1259,270.4679016,270.4679016,1.253420594,0.416212182,0.416212182,0.004784048,20.88235294
289,U,517898,392,228,1081,0,252703523.5,1426,2622,533.0083966,487.940721,2.087283596,0.7569058,0.440241129,0,20.88235294
290,CR,509700,176,167,1245,1,226537070.7,1740,2876,456.2461919,444.4517769,2.442613302,0.345301158,0.327643712,0.001961938,20.88235294
291,CR,71848,18,18,187,0,48154189.72,1740,2876,685.7277825,670.223106,2.602716847,0.250528894,0.250528894,0,20.88235294
292,CR,55417,24,24,203,0,18084686.6,1740,2876,333.0148979,326.3382463,3.663135861,0.433080102,0.433080102,0,20.88235294
293,CR,50784,25,25,254,0,28756857.31,1740,2876,579.8991278,566.2582173,5.001575299,0.492281033,0.492281033,0,20.88235294
